id,sent,tree,notes,
WH.sub.isl.sh.03,Who do you think the meeting with the millionaire delayed the fundraiser for?,(C-mat-wh (T-pres (lv-tr (you) (think (that (T-past (lv-tr (the (meeting-pobj (with (the (millionaire))))) (delay (the (fundraiser-pobj (for (who)))))))))))),,
WH.sub.isl.sh.04,Who do you think the documentary about the famous actor inspired the new song by?,(C-mat-wh (T-pres (lv-tr (you) (think (that (T-past (lv-tr (the (documentary-pobj (about (the (famous_actor))))) (inspire (the (new_song-pobj (by (who)))))))))))),,
WH.sub.isl.sh.05,Who do you think the email from the priest criticized the joke about?,(C-mat-wh (T-pres (lv-tr (you) (think (that (T-past (lv-tr (the (email-pobj (from (the (priest))))) (criticize (the (joke-pobj (about (who)))))))))))),,
WH.sub.isl.sh.06,Who do you think the picture of Chad Krueger accompanied the magazine article about?,(C-mat-wh (T-pres (lv-tr (you) (think (that (T-past (lv-tr (the (picture (of (D-e (Chad_Krueger))))) (accompany (the (magazine_article-pobj (about (who)))))))))))),,
WH.sub.isl.sh.07,Who do you think the flyer from the actress promoted the play about?,(C-mat-wh (T-pres (lv-tr (you) (think (that (T-past (lv-tr (the (flyer-pobj (from (the (actress))))) (promote (the (play-pobj (about (who)))))))))))),,
WH.sub.isl.sh.08,Who do you think the review by the critic praised the book about?,(C-mat-wh (T-pres (lv-tr (you) (think (that (T-past (lv-tr (the (review-pobj (by (the (critic))))) (praise (the (book-pobj (about (who)))))))))))),,
WH.sub.isl.lg.01,Who do you think the gift from prompted the rumor about the senator? ,(C-mat-wh (T-pres (lv-tr (you) (think (that (T-past (lv-tr (the (gift-pobj (from (who)))) (prompt (the (rumor-pobj (about (the (senator))))))))))))),"wh-movement, subject island, complex NPs, subject",
WH.sub.isl.lg.02,Who do you think the speech by interrupted the news report about the mayor?,(C-mat-wh (T-pres (lv-tr (you) (think (that (T-past (lv-tr (the (speech-pobj (by (who)))) (interrupt (the (news_report-pobj (about (the (mayor))))))))))))),,
WH.sub.isl.lg.03,Who do you think the meeting with delayed the fundraiser for the candidate?,(C-mat-wh (T-pres (lv-tr (you) (think (that (T-past (lv-tr (the (meeting-pobj (with (who)))) (delay (the (fundraiser-pobj (for (the (candidate))))))))))))),,
WH.sub.isl.lg.04,Who do you think the documentary about inspired the song by Adele?,(C-mat-wh (T-pres (lv-tr (you) (think (that (T-past (lv-tr (the (documentary-pobj (about (who)))) (inspire (the (song-pobj (by (D-e (Adele))))))))))))),,
WH.sub.isl.lg.05,Who do you think the email from criticized the joke about the Pope?,(C-mat-wh (T-pres (lv-tr (you) (think (that (T-past (lv-tr (the (email-pobj (from (who)))) (criticize (the (joke-pobj (about (the (Pope))))))))))))),,
WH.sub.isl.lg.06,Who do you think the picture of accompanied the magazine article about Avril Lavigne?,(C-mat-wh (T-pres (lv-tr (you) (think (that (T-past (lv-tr (the (picture-pobj (of (who)))) (accompany (the (magazine_article-pobj (about (D-e (Avril_Lavigne))))))))))))),,
WH.sub.isl.lg.07,Who do you think the flyer from promoted the play about Abraham Lincoln?,(C-mat-wh (T-pres (lv-tr (you) (think (that (T-past (lv-tr (the (flyer-pobj (from (who)))) (promote (the (play-pobj (about (D-e (Abraham_Lincoln))))))))))))),,
WH.sub.isl.lg.08,Who do you think the review by praised the book about Martin Luther King Jr?,(C-mat-wh (T-pres (lv-tr (you) (think (that (T-past (lv-tr (the (review-pobj (by (who)))) (praise (the (book-pobj (about (D-e (Martin_Luther_King_Jr))))))))))))),,
WH.np.non.sh.01,Who heard that Jeff baked a pie?,(C-mat-wh (T-past (lv-tr (who) (hear (that (T-past (lv-tr (D-e (Jeff)) (bake (a (pie)))))))))),"wh-movement, CNP island, non-island, short",
WH.np.non.sh.02,Who denied that Laura ate the cookie?,(C-mat-wh (T-past (lv-tr (who) (deny (that (T-past (lv-tr (D-e (Laura)) (eat (the (cookie)))))))))),,
WH.np.non.sh.03,Who announced that Andrew won the match?,(C-mat-wh (T-past (lv-tr (who) (announce (that (T-past (lv-tr (D-e (Andrew)) (win (the (match)))))))))),,
WH.np.non.sh.04,Who announced that Jane lost the game?,(C-mat-wh (T-past (lv-tr (who) (announce (that (T-past (lv-tr (D-e (Jane)) (lose (the (game)))))))))),,
WH.np.non.sh.05,Who claimed that Amy stole the pizza?,(C-mat-wh (T-past (lv-tr (who) (claim (that (T-past (lv-tr (D-e (Amy)) (steal (the (pizza)))))))))),,
WH.np.non.sh.06,Who heard that Ralph received the award?,(C-mat-wh (T-past (lv-tr (who) (hear (that (T-past (lv-tr (D-e (Ralph)) (receive (the (award)))))))))),,
WH.np.non.sh.07,Who denied that Jared could afford the car?,(C-mat-wh (T-past (lv-tr (who) (deny (that (could (lv-tr (D-e (Jared)) (afford (the (car)))))))))),,
WH.np.non.sh.08,Who claimed that Elizabeth joined the club?,(C-mat-wh (T-past (lv-tr (who) (claim (that (T-past (lv-tr (D-e (Elizabeth)) (join (the (club)))))))))),,
WH.np.non.lg.01,What did you hear that Jeff baked?,(C-mat-wh (T-past (lv-tr (you) (hear (that (T-past (lv-tr (D-e (Jeff)) (bake (what))))))))),"wh-movement, CNP island, non-island, long",
WH.np.non.lg.02,What did you deny that Laura ate? ,(C-mat-wh (T-past (lv-tr (you) (deny (that (T-past (lv-tr (D-e (Laura)) (eat (what))))))))),,
WH.np.non.lg.03,What did you announce that Andrew won?,(C-mat-wh (T-past (lv-tr (you) (announce (that (T-past (lv-tr (D-e (Andrew)) (win (what))))))))),,
WH.np.non.lg.04,What did you announce that Jane lost?,(C-mat-wh (T-past (lv-tr (you) (announce (that (T-past (lv-tr (D-e (Jane)) (lose (what))))))))),,
WH.np.non.lg.05,What did you claim that Amy stole?,(C-mat-wh (T-past (lv-tr (you) (claim (that (T-past (lv-tr (D-e (Amy)) (steal (what))))))))),,
WH.np.non.lg.06,What did you hear that Ralph received?,(C-mat-wh (T-past (lv-tr (you) (hear (that (T-past (lv-tr (D-e (Ralph)) (receive (what))))))))),,
WH.np.non.lg.07,What did you deny that Jared could afford?,(C-mat-wh (T-past (lv-tr (you) (deny (that (could (lv-tr (D-e (Jared)) (afford (what))))))))),,
WH.np.non.lg.08,What did you claim that Elizabeth joined?,(C-mat-wh (T-past (lv-tr (you) (claim (that (T-past (lv-tr (D-e (Elizabeth)) (join (what))))))))),,
WH.np.isl.sh.01,Who heard the rumor that Jeff baked a pie?,(C-mat-wh (T-past (lv-tr (who) (hear (the (rumor-sc (that (T-past (lv-tr (D-e (Jeff)) (bake (a (pie)))))))))))),"wh-movement, CNP island, island, short",
WH.np.isl.sh.02,Who denied the fact that Laura ate the cookie?,(C-mat-wh (T-past (lv-tr (who) (deny (the (fact-sc (that (T-past (lv-tr (D-e (Laura)) (eat (the (cookie)))))))))))),,
WH.np.isl.sh.03,Who made the announcement that Andrew won the match?,(C-mat-wh (T-past (lv-tr (who) (make (the (announcement-sc (that (T-past (lv-tr (D-e (Andrew)) (win (the (match)))))))))))),,
WH.np.isl.sh.04,Who made the announcement that Jane lost the game?,(C-mat-wh (T-past (lv-tr (who) (make (the (announcement-sc (that (T-past (lv-tr (D-e (Jane)) (lose (the (game)))))))))))),,
WH.np.isl.sh.05,Who made the claim that Amy stole the pizza?,(C-mat-wh (T-past (lv-tr (who) (make (the (claim-n-sc (that (T-past (lv-tr (D-e (Amy)) (steal (the (pizza)))))))))))),,
WH.np.isl.sh.06,Who heard the rumor that Ralph received the award?,(C-mat-wh (T-past (lv-tr (who) (hear (the (rumor-sc (that (T-past (lv-tr (D-e (Ralph)) (receive (the (award)))))))))))),,
WH.np.isl.sh.07,Who denied the fact that Jared could afford the car?,(C-mat-wh (T-past (lv-tr (who) (deny (the (fact-sc (that (could (lv-tr (D-e (Jared)) (afford (the (car)))))))))))),,
WH.np.isl.sh.08,Who made the claim that Elizabeth joined the club?,(C-mat-wh (T-past (lv-tr (who) (make (the (claim-n-sc (that (T-past (lv-tr (D-e (Elizabeth)) (join (the (club)))))))))))),,
WH.np.isl.lg.01,What did you hear the rumor that Jeff baked?,(C-mat-wh (T-past (lv-tr (you) (hear (the (rumor-sc (that (T-past (lv-tr (D-e (Jeff)) (bake (what))))))))))),"wh-movement, CNP island, island, long",
WH.np.isl.lg.02,What did you deny the fact that Laura ate?,(C-mat-wh (T-past (lv-tr (you) (deny (the (fact-sc (that (T-past (lv-tr (D-e (Laura)) (eat (what))))))))))),,
WH.np.isl.lg.03,What did you make the announcement that Andrew won?,(C-mat-wh (T-past (lv-tr (you) (make (the (announcement-sc (that (T-past (lv-tr (D-e (Andrew)) (win (what))))))))))),,
WH.np.isl.lg.04,What did you make the announcement that Jane lost?,(C-mat-wh (T-past (lv-tr (you) (make (the (announcement-sc (that (T-past (lv-tr (D-e (Jane)) (lose (what))))))))))),,
WH.np.isl.lg.05,What did you make the claim that Amy stole?,(C-mat-wh (T-past (lv-tr (you) (make (the (claim-n-sc (that (T-past (lv-tr (D-e (Amy)) (steal (what))))))))))),,
WH.np.isl.lg.06,What did you hear the rumor that Ralph received?,(C-mat-wh (T-past (lv-tr (you) (hear (the (rumor-sc (that (T-past (lv-tr (D-e (Ralph)) (receive (what))))))))))),,
WH.np.isl.lg.07,What did you deny the fact that Jared could afford?,(C-mat-wh (T-past (lv-tr (you) (deny (the (fact-sc (that (could (lv-tr (D-e (Jared)) (afford (what))))))))))),,
WH.np.isl.lg.08,What did you make the claim that Elizabeth joined?,(C-mat-wh (T-past (lv-tr (you) (make (the (claim-n-sc (that (T-past (lv-tr (D-e (Elizabeth)) (join (what))))))))))),,
RC.adj.non.sh.01,I called the secretary who thought that the lawyer insulted the client.,(C-mat-decl (T-past (lv-tr (I) (call (the (secretary (C-rel (T-past (lv-tr (who) (think (that (T-past (lv-tr (the (lawyer)) (insult (the (client)))))))))))))))),"rc-movement, adjunct, non-island, short",
RC.adj.non.sh.02,I sympathize with the reverand who believes that the bride and groom neglected to thank their parents.,(C-mat-decl (T-pres (lv-tr (I) (sympathize (with (the (reverand (C-rel (T-pres (lv-tr (who) (believe (that (T-past (lv-tr (the (bride_and_groom)) (neglect (to-inf (lv-tr (PRO) (thank (their (parents)))))))))))))))))))),,
RC.adj.non.sh.03,I talked to the news reporter who claims that the tourists photographed the famous actor.,(C-mat-decl (T-past (lv-tr (I) (talk (to (the (news_reporter (C-rel (T-pres (lv-tr (who) (claim (that (T-past (lv-tr (the (tourists)) (photograph (the (famous_actor))))))))))))))))),,
RC.adj.non.sh.04,I met the parents who thought that the child prodigy imitated the famous artist.,(C-mat-decl (T-past (lv-tr (I) (meet (the (parents (C-rel (T-past (lv-tr (who) (think (that (T-past (lv-tr (the (child_prodigy)) (imitate (the (famous_artist)))))))))))))))),,
RC.adj.non.sh.05,I served the customer who believes that the young couple played with their child at the restaurant.,(C-mat-decl (T-past (lv-tr (I) (serve (the (customer (C-rel (T-pres (lv-tr (who) (believe (that (T-past (lv-tr (the (young_couple)) (play (with (the (child))) (at (the (restaurant))))))))))))))))),treated post-modifier PP as dependent,
RC.adj.non.sh.06,I spoke with the professor who claims that the students publicly criticized the college president.,(C-mat-decl (T-past (lv-tr (I) (speak (with (the (professor (C-rel (T-pres (lv-tr (who) (claim (that (T-past (lv-tr (the (students)) (criticize (publicly) (the (college_president))))))))))))))))),,
RC.adj.non.sh.07,I interviewed the employee who thought that the office manager was blackmailing an executive.,(C-mat-decl (T-past (lv-tr (I) (interview (the (employee (C-rel (T-past (lv-tr (who) (think (that (T-past (Prog (lv-tr (the (office_manager)) (blackmail (an (executive))))))))))))))))),,
RC.adj.non.sh.08,I emailed the teacher who said that her students were writing letters to their congressman.,(C-mat-decl (T-past (lv-tr (I) (email (the (teacher (C-rel (T-past (lv-tr (who) (say (that (T-past (Prog (lv-tr (her (students)) (write-dobj-pobj (D-e (letters)) (to (their (congressman)))))))))))))))))),,
RC.adj.non.lg.01,I called the client who the secretary thought that the lawyer insulted.,(C-mat-decl (T-past (lv-tr (I) (call (the (secretary (C-rel (T-past (lv-tr (the (secretary)) (think (that (T-past (lv-tr (the (lawyer)) (insult (who))))))))))))))),"rc-movement, adjunct, non-island, long",
RC.adj.non.lg.02,I sympathize with the parents who the reverand believes that the bride and groom neglected to thank.,(C-mat-decl (T-pres (lv-tr (I) (sympathize (with (the (parents (C-rel (T-pres (lv-tr (the (reverand)) (believe (that (T-past (lv-tr (the (bride_and_groom)) (neglect (to-inf (lv-tr (PRO) (thank (who))))))))))))))))))),,
RC.adj.non.lg.03,I talked to the famous actor who the news reporter claims that the tourists photographed.,(C-mat-decl (T-past (lv-tr (I) (talk (to (the (famous_actor (C-rel (T-pres (lv-tr (the (news_reporter)) (claim (that (T-past (lv-tr (the (tourists)) (photograph (who)))))))))))))))),,
RC.adj.non.lg.04,I met the famous artist who the parents thought that the child prodigy imitated.,(C-mat-decl (T-past (lv-tr (I) (meet (the (famous_artist (C-rel (T-past (lv-tr (the (parents)) (think (that (T-past (lv-tr (the (child_prodigy)) (imitate (who))))))))))))))),,
RC.adj.non.lg.05,I served the child who the other customer believed that the young couple played with at the restaurant.,(C-mat-decl (T-past (lv-tr (I) (serve (the (child (C-rel (T-past (lv-tr (the (other_customer)) (believe (that (T-past (lv-tr (the (young_couple)) (play (with (who)) (at (the (restaurant))))))))))))))))),,
RC.adj.non.lg.06,I spoke with the college president who the professor claims that the students publicly criticized.,(C-mat-decl (T-past (lv-tr (I) (speak (with (the (college_president (C-rel (T-pres (lv-tr (the (professor)) (claim (that (T-past (lv-tr (the (students)) (criticize (publicly) (who)))))))))))))))),,
RC.adj.non.lg.07,I interviewed the executive who the employee thought that the office manager was blackmailing.,(C-mat-decl (T-past (lv-tr (I) (interview (the (executive (C-rel (T-past (lv-tr (the (employee)) (think (that (T-past (Prog (lv-tr (the (office_manager)) (blackmail (who)))))))))))))))),,
RC.adj.non.lg.08,I emailed the congressman who the teacher said that her students were writing letters to. ,(C-mat-decl (T-past (lv-tr (I) (email (the (congressman (C-rel (T-past (lv-tr (the (teacher)) (say (that (T-past (Prog (lv-tr (her (students)) (write-dobj-pobj (D-e (letters)) (to (who))))))))))))))))),,
RC.adj.isl.sh.01,I called the secretary who worries if the lawyer insults the client.,(C-mat-decl (T-past (lv-tr (I) (call (the (secretary (C-rel (T-pres (lv-tr (who) (worry (if (T-pres (lv-tr (the (lawyer)) (insult (the (client)))))))))))))))),"rc-movement, adjunct, island, short","I think this is an argument, but keeping it an adjunct for consistency"
RC.adj.isl.sh.02,I sympathize with the reverand who sighs if the bride and groom neglect to thank their parents.,(C-mat-decl (T-pres (lv-tr (I) (sympathize (with (the (reverand (C-rel (T-pres (lv-tr (who) (sigh (if (T-pres (lv-tr (the (bride_and_groom)) (neglect (to-inf (lv-tr (PRO) (thank (their (parents)))))))))))))))))))),,
RC.adj.isl.sh.03,I talked to the news reporter who coughs if the tourists photograph the famous actor.,(C-mat-decl (T-past (lv-tr (I) (talk (to (the (news_reporter (C-rel (T-pres (lv-tr (who) (cough (if (T-pres (lv-tr (the (tourists)) (photograph (the (famous_actor))))))))))))))))),,
RC.adj.isl.sh.04,I met the parents that blush if the child prodigy imitates the famous artist.,(C-mat-decl (T-past (lv-tr (I) (meet (the (parents (that-rel (T-pres (lv-tr (Op) (blush (if (T-pres (lv-tr (the (child_prodigy)) (imitate (the (famous_artist)))))))))))))))),,
RC.adj.isl.sh.05,I served the customer who winks if the young couple play with their child at the restaurant.,(C-mat-decl (T-past (lv-tr (I) (serve (the (customer (C-rel (T-pres (lv-tr (who) (wink (if (T-pres (lv-tr (the (young_couple)) (play (with (the (child))) (at (the (restaurant))))))))))))))))),,
RC.adj.isl.sh.06,I spoke with the professor who faints if the students publicly criticize the college president.,(C-mat-decl (T-past (lv-tr (I) (speak (with (the (professor (C-rel (T-pres (lv-tr (who) (faint (if (T-pres (lv-tr (the (students)) (criticize (publicly) (the (college_president))))))))))))))))),,
RC.adj.isl.sh.07,I interviewed the employee who laughs if the office manager blackmails an executive.,(C-mat-decl (T-past (lv-tr (I) (interview (the (employee (C-rel (T-pres (lv-tr (who) (laugh (if (T-pres (lv-tr (the (office_manager)) (blackmail (an (executive)))))))))))))))),,
RC.adj.isl.sh.08,I emailed the teacher who smiles if her students write letters to their congressman.,(C-mat-decl (T-past (lv-tr (I) (email (the (teacher (C-rel (T-pres (lv-tr (who) (smile (if (T-pres (lv-tr (her (students)) (write-dobj-pobj (D-e (letters)) (to (their (congressman))))))))))))))))),,
RC.adj.isl.lg.01,I called the client who the secretary worries if the lawyer insults.,(C-mat-decl (T-past (lv-tr (I) (call (the (secretary (C-rel (T-pres (lv-tr (the (secretary)) (worry (if (T-pres (lv-tr (the (lawyer)) (insult (who))))))))))))))),"rc-movement, adjunct, island, long",
RC.adj.isl.lg.02,I sympathize with the parents who the reverand sighs if the bride and groom neglect to thank.,(C-mat-decl (T-pres (lv-tr (I) (sympathize (with (the (parents (C-rel (T-pres (lv-tr (the (reverand)) (sigh (if (T-pres (lv-tr (the (bride_and_groom)) (neglect (to-inf (lv-tr (PRO) (thank (who))))))))))))))))))),,
RC.adj.isl.lg.03,I talked to the famous actor who the news reporter coughs if the tourists photograph.,(C-mat-decl (T-past (lv-tr (I) (talk (to (the (famous_actor (C-rel (T-pres (lv-tr (the (news_reporter)) (cough (if (T-pres (lv-tr (the (tourists)) (photograph (who)))))))))))))))),,
RC.adj.isl.lg.04,I met the famous artist who the parents blush if the child prodigy imitates.,(C-mat-decl (T-past (lv-tr (I) (meet (the (famous_artist (C-rel (T-pres (lv-tr (the (parents)) (blush (if (T-pres (lv-tr (the (child_prodigy)) (imitate (who))))))))))))))),,
RC.adj.isl.lg.05,I served the child who the other customer winks if the young couple play with at the restaurant.,(C-mat-decl (T-past (lv-tr (I) (serve (the (child (C-rel (T-pres (lv-tr (the (other_customer)) (wink (if (T-pres (lv-tr (the (young_couple)) (play (with (who)) (at (the (restaurant))))))))))))))))),,
RC.adj.isl.lg.06,I spoke with the college president who the professor faints if the students publicly criticize.,(C-mat-decl (T-past (lv-tr (I) (speak (with (the (college_president (C-rel (T-pres (lv-tr (the (professor)) (faint (if (T-pres (lv-tr (the (students)) (criticize (publicly) (who)))))))))))))))),,
RC.adj.isl.lg.07,I interviewed the executive who the employee laughs if the office manager blackmails.,(C-mat-decl (T-past (lv-tr (I) (interview (the (executive (C-rel (T-pres (lv-tr (the (employee)) (laugh (if (T-pres (lv-tr (the (office_manager)) (blackmail (who))))))))))))))),,
RC.adj.isl.lg.08,I emailed the congressman who the teacher smiles if her students write letters to. ,(C-mat-decl (T-past (lv-tr (I) (email (the (congressman (C-rel (T-pres (lv-tr (the (teacher)) (smile (if (T-pres (lv-tr (her (students)) (write-dobj-pobj (D-e (letters)) (to (who)))))))))))))))),,
WH.adj.non.sh.01,Who thinks that the lawyer forgot his briefcase at the office?,(C-mat-wh (T-pres (lv-tr (who) (think (that (T-past (lv-tr (the (lawyer)) (forget (his (briefcase)) (at (the (office))))))))))),"wh-movement, adjunct, non-island, short",
WH.adj.non.sh.02,Who wishes that the heiress bought a painting at the auction?,(C-mat-wh (T-pres (lv-tr (who) (wish (that (T-past (lv-tr (the (heiress)) (buy (a (painting)) (at (the (auction))))))))))),,
WH.adj.non.sh.03,Who suspects that the bride and groom neglected to send a thank you note promptly?,(C-mat-wh (T-pres (lv-tr (who) (suspect (that (T-past (lv-tr (the (bride_and_groom)) (neglect (to-inf (lv-tr (PRO) (send (a (thank_you_note)) (promptly)))))))))))),,
WH.adj.non.sh.04,Who thinks that the child prodigy will submit a drawing to the art contest?,(C-mat-wh (T-pres (lv-tr (who) (think (that (will (lv-tr (the (child_prodigy)) (submit (a (drawing)) (to (the (art_contest))))))))))),,
WH.adj.non.sh.05,Who hopes that the dog owner will leave a window open at night?,(C-mat-wh (T-pres (lv-tr (who) (hope (that (will (lv-tr (the (dog_owner)) (leave (a (window)) (open) (at (D-e (night))))))))))),,
WH.adj.non.sh.06,Who complains that the tourists photograph the priceless painting in the exhibit?,(C-mat-wh (T-pres (lv-tr (who) (complain (that (T-pres (lv-tr (the (tourists)) (photograph (the (priceless_painting)) (in (the (exhibit))))))))))),,
WH.adj.non.sh.07,Who claims that the sweethearts share popcorn at the movies?,(C-mat-wh (T-pres (lv-tr (who) (claim (that (T-pres (lv-tr (the (sweethearts)) (share (D-e (popcorn)) (at (the (movies))))))))))),,
WH.adj.non.sh.08,Who believes that the actors will forget their lines on stage?,(C-mat-wh (T-pres (lv-tr (who) (believe (that (will (lv-tr (the (actors)) (forget (their (lines)) (on (D-e (stage))))))))))),,
WH.adj.non.lg.01,What do you think that the lawyer forgot at the office?,(C-mat-wh (T-pres (lv-tr (you) (think (that (T-past (lv-tr (the (lawyer)) (forget (what) (at (the (office))))))))))),"wh-movement, adjunct, non-island, long",
WH.adj.non.lg.02,What do you wish that the heiress bought at the auction?,(C-mat-wh (T-pres (lv-tr (you) (wish (that (T-past (lv-tr (the (heiress)) (buy (what) (at (the (auction))))))))))),,
WH.adj.non.lg.03,What do you suspect that the bride and groom neglected to send promptly?,(C-mat-wh (T-pres (lv-tr (you) (suspect (that (T-past (lv-tr (the (bride_and_groom)) (neglect (to-inf (lv-tr (PRO) (send (what) (promptly)))))))))))),,
WH.adj.non.lg.04,What do you think that the child prodigy will submit to the art contest?,(C-mat-wh (T-pres (lv-tr (you) (think (that (will (lv-tr (the (child_prodigy)) (submit (a (drawing)) (to (the (art_contest))))))))))),,
WH.adj.non.lg.05,What do you hope that the dog owner will leave open at night?,(C-mat-wh (T-pres (lv-tr (you) (hope (that (will (lv-tr (the (dog_owner)) (leave (what) (open) (at (D-e (night))))))))))),,
WH.adj.non.lg.06,What do you complain that the tourists photograph in the exhibit?,(C-mat-wh (T-pres (lv-tr (you) (complain (that (T-pres (lv-tr (the (tourists)) (photograph (what) (in (the (exhibit))))))))))),,
WH.adj.non.lg.07,What do you claim that the sweethearts share at the movies?,(C-mat-wh (T-pres (lv-tr (you) (claim (that (T-pres (lv-tr (the (sweethearts)) (share (what) (at (the (movies))))))))))),,
WH.adj.non.lg.08,What do you believe that the actors will forget on stage?,(C-mat-wh (T-pres (lv-tr (you) (believe (that (will (lv-tr (the (actors)) (forget (what) (on (D-e (stage))))))))))),,
WH.adj.isl.sh.01,Who worries if the lawyer forgets his briefcase at the office?,(C-mat-wh (T-pres (lv-tr (who) (worry (if (T-pres (lv-tr (the (lawyer)) (forget (his (briefcase)) (at (the (office))))))))))),"wh-movement, adjunct, island, short",
WH.adj.isl.sh.02,Who laughs if the heiress buys a painting at the auction?,(C-mat-wh (T-pres (lv-tr (who) (laugh (if (T-pres (lv-tr (the (heiress)) (buy (a (painting)) (at (the (auction))))))))))),,
WH.adj.isl.sh.03,Who sighs if the bride and groom neglect to send a thank you note promptly?,(C-mat-wh (T-pres (lv-tr (who) (sigh (if (T-pres (lv-tr (the (bride_and_groom)) (neglect (to-inf (lv-tr (PRO) (send (a (thank_you_note)) (promptly)))))))))))),,
WH.adj.isl.sh.04,Who blushes if the child prodigy submits a drawing to the art contest?,(C-mat-wh (T-pres (lv-tr (who) (blush (if (T-pres (lv-tr (the (child_prodigy)) (submit (a (drawing)) (to (the (art_contest))))))))))),,
WH.adj.isl.sh.05,Who sneezes if the dog owner leaves a window open at night?,(C-mat-wh (T-pres (lv-tr (who) (sneeze (if (T-pres (lv-tr (the (dog_owner)) (leave (a (window)) (open) (at (D-e (night))))))))))),,
WH.adj.isl.sh.06,Who coughs if the tourists photograph the priceless painting in the exhibit?,(C-mat-wh (T-pres (lv-tr (who) (cough (if (T-pres (lv-tr (the (tourists)) (photograph (the (priceless_painting)) (in (the (exhibit))))))))))),,
WH.adj.isl.sh.07,Who winks if the sweethearts share popcorn at the movies?,(C-mat-wh (T-pres (lv-tr (who) (wink (if (T-pres (lv-tr (the (sweethearts)) (share (D-e (popcorn)) (at (the (movies))))))))))),,
WH.adj.isl.sh.08,Who faints if the actors forget their lines on stage?,(C-mat-wh (T-pres (lv-tr (who) (faint (if (T-pres (lv-tr (the (actors)) (forget (their (lines)) (on (D-e (stage))))))))))),,
WH.adj.isl.lg.01,What do you worry if the lawyer forgets at the office?,(C-mat-wh (T-pres (lv-tr (you) (worry (if (T-pres (lv-tr (the (lawyer)) (forget (what) (at (the (office))))))))))),"wh-movement, adjunct, island, long",
WH.adj.isl.lg.02,What do you laugh if the heiress buys at the auction?,(C-mat-wh (T-pres (lv-tr (you) (laugh (if (T-pres (lv-tr (the (heiress)) (buy (what) (at (the (auction))))))))))),,
WH.adj.isl.lg.03,What do you sigh if the bride and groom neglect to send promptly?,(C-mat-wh (T-pres (lv-tr (you) (sigh (if (T-pres (lv-tr (the (bride_and_groom)) (neglect (to-inf (lv-tr (PRO) (send (what) (promptly)))))))))))),,
WH.adj.isl.lg.04,What do you blush if the child prodigy submits to the art contest?,(C-mat-wh (T-pres (lv-tr (you) (blush (if (T-pres (lv-tr (the (child_prodigy)) (submit (a (drawing)) (to (the (art_contest))))))))))),,
WH.adj.isl.lg.05,What do you sneeze if the dog owner leaves open at night?,(C-mat-wh (T-pres (lv-tr (you) (sneeze (if (T-pres (lv-tr (the (dog_owner)) (leave (what) (open) (at (D-e (night))))))))))),,
WH.adj.isl.lg.06,What do you cough if the tourists photograph in the exhibit?,(C-mat-wh (T-pres (lv-tr (you) (cough (if (T-pres (lv-tr (the (tourists)) (photograph (what) (in (the (exhibit))))))))))),,
WH.adj.isl.lg.07,What do you wink if the sweethearts share at the movies?,(C-mat-wh (T-pres (lv-tr (you) (wink (if (T-pres (lv-tr (the (sweethearts)) (share (what) (at (the (movies))))))))))),,
WH.adj.isl.lg.08,What do you faint if the actors forget on stage?,(C-mat-wh (T-pres (lv-tr (you) (faint (if (T-pres (lv-tr (the (actors)) (forget (what) (on (D-e (stage))))))))))),,
RC.np.non.sh.01,I know the fisherman who heard that Laura is dating the boat captain.,(C-mat-decl (T-pres (lv-tr (I) (know (the (fisherman (C-rel (T-past (lv-tr (who) (hear (that (T-pres (Prog (lv-tr (D-e (Laura)) (date (the (boat_captain))))))))))))))))),"rc-movement, CNP island, non-island, short",
RC.np.non.sh.02,I trust the chef who suggested that Rebecca should hire a new waiter.,(C-mat-decl (T-pres (lv-tr (I) (trust (the (chef (C-rel (T-past (lv-tr (who) (suggest (that (should (lv-tr (D-e (Rebecca)) (hire (a (new_waiter)))))))))))))))),,
RC.np.non.sh.03,I agree with the teacher who recommended that Stan should talk to the principal.,(C-mat-decl (T-pres (lv-tr (I) (agree (with (the (teacher (C-rel (T-past (lv-tr (who) (recommend (that (should (lv-tr (D-e (Stan)) (talk (to (the (principal)))))))))))))))))),,
RC.np.non.sh.04,I believe the employee who claimed that Amy insulted the customer.,(C-mat-decl (T-pres (lv-tr (I) (believe (the (employee (C-rel (T-past (lv-tr (who) (claim (that (T-past (lv-tr (D-e (Amy)) (insult (the (customer)))))))))))))))),,
RC.np.non.sh.05,I spoke to the detective who heard that Lilly could identify the criminal.,(C-mat-decl (T-past (lv-tr (I) (speak (to (the (detective (C-rel (T-past (lv-tr (who) (hear (that (could (lv-tr (D-e (Lilly)) (identify (the (criminal))))))))))))))))),,
RC.np.non.sh.06,I trust the accountant who suggested that Ralph should contact a stock broker.,(C-mat-decl (T-pres (lv-tr (I) (trust (the (account (C-rel (T-past (lv-tr (who) (suggest (that (should (lv-tr (D-e (Ralph)) (contact (a (stock_broker)))))))))))))))),,
RC.np.non.sh.07,I like the nurse who recommended that Susan should see a new doctor.,(C-mat-decl (T-pres (lv-tr (I) (like (the (nurse (C-rel (T-past (lv-tr (who) (recommend (that (should (lv-tr (D-e (Susan)) (see (a (new_doctor)))))))))))))))),,
